scope,run,split_seed,model,precision,recall,f1,tp,fp,fn,tn
caffe,25,31,LR,0.3333333333333333,0.2,0.25,2,4,8,72
caffe,25,31,SVM,0.5,0.1,0.16666666666666666,1,1,9,75
caffe,26,32,NB,0.0,0.0,0.0,0,0,10,76
caffe,26,32,LR,0.5,0.2,0.2857142857142857,2,2,8,74
caffe,26,32,SVM,0.5,0.1,0.16666666666666666,1,1,9,75
caffe,27,33,NB,0.0,0.0,0.0,0,0,10,76
caffe,27,33,LR,1.0,0.2,0.3333333333333333,2,0,8,76
caffe,27,33,SVM,1.0,0.1,0.18181818181818182,1,0,9,76
caffe,28,34,NB,0.0,0.0,0.0,0,0,10,76
caffe,28,34,LR,0.42857142857142855,0.3,0.35294117647058826,3,4,7,72
caffe,28,34,SVM,0.5,0.3,0.375,3,3,7,73
caffe,29,35,NB,0.0,0.0,0.0,0,0,10,76
caffe,29,35,LR,0.4,0.4,0.4,4,6,6,70
caffe,29,35,SVM,0.5,0.3,0.375,3,3,7,73
caffe,30,36,NB,0.0,0.0,0.0,0,0,10,76
caffe,30,36,LR,0.4166666666666667,0.5,0.45454545454545453,5,7,5,69
caffe,30,36,SVM,0.6666666666666666,0.4,0.5,4,2,6,74
incubator-mxnet,1,7,NB,0.0,0.0,0.0,0,0,20,135
incubator-mxnet,1,7,LR,0.7777777777777778,0.35,0.4827586206896552,7,2,13,133
incubator-mxnet,1,7,SVM,0.75,0.3,0.42857142857142855,6,2,14,133
incubator-mxnet,2,8,NB,0.0,0.0,0.0,0,0,20,135
incubator-mxnet,2,8,LR,0.7692307692307693,0.5,0.6060606060606061,10,3,10,132
incubator-mxnet,2,8,SVM,0.8181818181818182,0.45,0.5806451612903226,9,2,11,133
incubator-mxnet,3,9,NB,0.0,0.0,0.0,0,0,20,135
incubator-mxnet,3,9,LR,0.8,0.4,0.5333333333333333,8,2,12,133
incubator-mxnet,3,9,SVM,0.75,0.3,0.42857142857142855,6,2,14,133
incubator-mxnet,4,10,NB,0.0,0.0,0.0,0,0,20,135
incubator-mxnet,4,10,LR,0.5263157894736842,0.5,0.5128205128205128,10,9,10,126
incubator-mxnet,4,10,SVM,0.5384615384615384,0.35,0.42424242424242425,7,6,13,129
incubator-mxnet,5,11,NB,0.0,0.0,0.0,0,0,20,135
incubator-mxnet,5,11,LR,0.6923076923076923,0.45,0.5454545454545454,9,4,11,131
incubator-mxnet,5,11,SVM,0.875,0.35,0.5,7,1,13,134
incubator-mxnet,6,12,NB,0.0,0.0,0.0,0,0,20,135
incubator-mxnet,6,12,LR,0.4117647058823529,0.35,0.3783783783783784,7,10,13,125
incubator-mxnet,6,12,SVM,0.5,0.25,0.3333333333333333,5,5,15,130
incubator-mxnet,7,13,NB,0.0,0.0,0.0,0,0,20,135
incubator-mxnet,7,13,LR,0.631578947368421,0.6,0.6153846153846154,12,7,8,128
incubator-mxnet,7,13,SVM,0.6,0.45,0.5142857142857142,9,6,11,129
incubator-mxnet,8,14,NB,0.0,0.0,0.0,0,0,20,135
incubator-mxnet,8,14,LR,0.6666666666666666,0.5,0.5714285714285714,10,5,10,130
incubator-mxnet,8,14,SVM,0.6363636363636364,0.35,0.45161290322580644,7,4,13,131
incubator-mxnet,9,15,NB,0.0,0.0,0.0,0,0,20,135
incubator-mxnet,9,15,LR,0.5454545454545454,0.3,0.3870967741935484,6,5,14,130
incubator-mxnet,9,15,SVM,0.5555555555555556,0.25,0.3448275862068966,5,4,15,131
incubator-mxnet,10,16,NB,0.0,0.0,0.0,0,0,20,135
incubator-mxnet,10,16,LR,0.47619047619047616,0.5,0.4878048780487805,10,11,10,124
incubator-mxnet,10,16,SVM,0.5833333333333334,0.35,0.4375,7,5,13,130
incubator-mxnet,11,17,NB,0.0,0.0,0.0,0,0,20,135
incubator-mxnet,11,17,LR,0.6875,0.55,0.6111111111111112,11,5,9,130
incubator-mxnet,11,17,SVM,0.6428571428571429,0.45,0.5294117647058824,9,5,11,130
incubator-mxnet,12,18,NB,0.0,0.0,0.0,0,0,20,135
incubator-mxnet,12,18,LR,0.5,0.4,0.4444444444444444,8,8,12,127
incubator-mxnet,12,18,SVM,0.5,0.3,0.375,6,6,14,129
incubator-mxnet,13,19,NB,0.0,0.0,0.0,0,0,20,135
incubator-mxnet,13,19,LR,0.6153846153846154,0.4,0.48484848484848486,8,5,12,130
incubator-mxnet,13,19,SVM,0.7,0.35,0.4666666666666667,7,3,13,132
incubator-mxnet,14,20,NB,0.0,0.0,0.0,0,0,20,135
incubator-mxnet,14,20,LR,0.5833333333333334,0.35,0.4375,7,5,13,130
incubator-mxnet,14,20,SVM,0.7,0.35,0.4666666666666667,7,3,13,132
incubator-mxnet,15,21,NB,0.0,0.0,0.0,0,0,20,135
incubator-mxnet,15,21,LR,0.6,0.45,0.5142857142857142,9,6,11,129
incubator-mxnet,15,21,SVM,0.75,0.45,0.5625,9,3,11,132
incubator-mxnet,16,22,NB,0.0,0.0,0.0,0,0,20,135
incubator-mxnet,16,22,LR,0.6470588235294118,0.55,0.5945945945945946,11,6,9,129
incubator-mxnet,16,22,SVM,0.6666666666666666,0.5,0.5714285714285714,10,5,10,130
incubator-mxnet,17,23,NB,0.0,0.0,0.0,0,0,20,135
incubator-mxnet,17,23,LR,0.5882352941176471,0.5,0.5405405405405406,10,7,10,128
incubator-mxnet,17,23,SVM,0.5833333333333334,0.35,0.4375,7,5,13,130
incubator-mxnet,18,24,NB,0.0,0.0,0.0,0,0,20,135
incubator-mxnet,18,24,LR,0.6153846153846154,0.4,0.48484848484848486,8,5,12,130
incubator-mxnet,18,24,SVM,0.5454545454545454,0.3,0.3870967741935484,6,5,14,130
incubator-mxnet,19,25,NB,0.0,0.0,0.0,0,0,20,135
